experiment,net,kind,algorithm,feature_augmentation,data_augmentation,hair_removal,segmentation,class,model_idx,class_idx,class_name,precision,recall,f1_score,support
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,11,2,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,12,2,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,13,2,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,14,3,0,akiec,0.8571428571428571,0.1224489795918367,0.2142857142857142,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,15,3,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,16,3,2,bkl,0.5413223140495868,0.793939393939394,0.6437346437346437,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,17,3,3,df,1.0,0.1176470588235294,0.2105263157894736,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,18,3,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,19,3,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,20,3,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,21,4,0,akiec,0.8571428571428571,0.1224489795918367,0.2142857142857142,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,22,4,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,23,4,2,bkl,0.5413223140495868,0.793939393939394,0.6437346437346437,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,24,4,3,df,1.0,0.1176470588235294,0.2105263157894736,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,25,4,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,26,4,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,27,4,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,28,5,0,akiec,0.8571428571428571,0.1224489795918367,0.2142857142857142,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,29,5,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,30,5,2,bkl,0.5413223140495868,0.793939393939394,0.6437346437346437,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,31,5,3,df,1.0,0.1176470588235294,0.2105263157894736,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,32,5,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,33,5,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,34,5,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,35,6,0,akiec,0.8571428571428571,0.1224489795918367,0.2142857142857142,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,36,6,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,37,6,2,bkl,0.5413223140495868,0.793939393939394,0.6437346437346437,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,38,6,3,df,1.0,0.1176470588235294,0.2105263157894736,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,39,6,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,40,6,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,41,6,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,42,7,0,akiec,0.8571428571428571,0.1224489795918367,0.2142857142857142,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,43,7,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,44,7,2,bkl,0.5413223140495868,0.793939393939394,0.6437346437346437,165.0
