experiment,net,kind,algorithm,feature_augmentation,data_augmentation,hair_removal,segmentation,model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,1.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,2.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,3.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,4.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,5.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,6.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,7.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,8.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,9.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,adaboost,True,False,False,False,10.0,0.7897538256819694,0.5162708439724243,0.4006605888358754,0.4296076071412041
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,1.0,0.8343313373253493,0.7067399252001859,0.7028819502350407,0.7030600769955492
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,2.0,0.83166999334664,0.7035938184323467,0.6963796090388221,0.6983480668687854
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,3.0,0.8283433133732535,0.7078087197088218,0.698076340824287,0.700946466904182
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,4.0,0.8290086493679308,0.6989500003682896,0.687162805175969,0.6911432197881444
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,5.0,0.8296739853626082,0.7013046107101799,0.6952401668212974,0.6965335689408337
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,6.0,0.83166999334664,0.7093290620047857,0.7089021258859903,0.7080524270600563
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,7.0,0.8330006653359947,0.7054926230495634,0.6980801041524909,0.7002031850805454
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,8.0,0.8296739853626082,0.6991803633548707,0.6876818685972719,0.6915253544791733
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,9.0,0.8323353293413174,0.7058741017173034,0.6996617503703403,0.7009883560251529
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,extratrees,True,False,False,False,10.0,0.8290086493679308,0.7002501516302647,0.6916612279216905,0.6944903367018976
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,1.0,0.8389886892880905,0.7319337398495949,0.7034178812168678,0.7152660054673582
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,2.0,0.8369926813040586,0.7251537127337119,0.6988726118298533,0.709804335710146
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,3.0,0.8349966733200266,0.7161680893778505,0.6928590131903166,0.7028868944267138
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,4.0,0.8376580172987359,0.7218952779006009,0.6972099191176614,0.7074467931743136
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,5.0,0.8356620093147039,0.7214374690717122,0.6975076995347261,0.7072189220314027
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,6.0,0.8363273453093812,0.7191482452012229,0.7039105764145581,0.7100383308605974
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,7.0,0.8343313373253493,0.7167565949867961,0.6961332041202668,0.704466996202602
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,8.0,0.8383233532934131,0.7210969768000556,0.7008699045116107,0.7088890943340124
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,9.0,0.8363273453093812,0.7204866005227161,0.6987098689723806,0.7075114195452125
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,randomforest,True,False,False,False,10.0,0.8396540252827678,0.7272280044440779,0.7001333214142733,0.7116639239859375
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,1.0,0.8303393213572854,0.7075218592976109,0.6968435175418234,0.7001750731274745
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,2.0,0.8296739853626082,0.6998867990241967,0.6962641453714667,0.6962718449411816
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,3.0,0.8330006653359947,0.7072760116724927,0.7022649566672831,0.7029361668127266
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,4.0,0.8323353293413174,0.7061684716985831,0.6986360778912667,0.6999168512541185
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,5.0,0.8330006653359947,0.7090957594548221,0.69229031797754,0.698426521478855
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,6.0,0.8323353293413174,0.7074024616239555,0.7000533485338796,0.701727504466621
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,7.0,0.833666001330672,0.7079292426657989,0.7014174750756946,0.7025728915848723
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,8.0,0.8303393213572854,0.6997950248165818,0.6940700707589637,0.6954109385796653
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,9.0,0.8343313373253493,0.708297249963536,0.7053224136745108,0.7048909565125961
feature_extraction_Inception_use_augmentation_use_feature_augmentation_,Inception,feature_extractor,xgboost,True,False,False,False,10.0,0.8330006653359947,0.701970961054959,0.7008880427817473,0.6999399044627366
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,1.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,2.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,3.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,4.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,5.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,6.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,7.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,8.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,9.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,adaboost,False,False,False,False,10.0,0.8429807052561543,0.5459765358605391,0.4978688886175896,0.5098981137245798
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,1.0,0.8829008649367931,0.8745166004406338,0.7567160892631607,0.8052610315927741
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,2.0,0.8875582168995343,0.8788371423623377,0.7623082216476612,0.8097972121866358
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,3.0,0.886892880904857,0.8780863411828177,0.7593824008799732,0.8079610784882366
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,4.0,0.8875582168995343,0.8796845396135076,0.7630112796559895,0.8108592359826243
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,5.0,0.886892880904857,0.8750020317075631,0.7598301368107901,0.8071845941020086
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,6.0,0.8875582168995343,0.8793094446333712,0.7592690839146459,0.8083405196178445
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,7.0,0.884896872920825,0.8757300056689197,0.757529531781476,0.8057563684556236
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,8.0,0.8855622089155023,0.8780660452747399,0.7573851081982159,0.806910889067003
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,9.0,0.8862275449101796,0.8749150140010833,0.7610139869742321,0.8080233860736774
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,extratrees,False,False,False,False,10.0,0.8862275449101796,0.8763463629971424,0.7617585204731376,0.8088317814435338
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,1.0,0.8875582168995343,0.8887239451534937,0.7625635437251725,0.8146290305511749
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,2.0,0.8822355289421158,0.8815518236944059,0.7516499878525551,0.8048965979616706
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,3.0,0.886892880904857,0.8876140415474085,0.7609946848510435,0.8126991505423842
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,4.0,0.8882235528942116,0.8918781018587699,0.7620024908290283,0.8151401011632465
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,5.0,0.886892880904857,0.8906223307607222,0.7617184806046603,0.8145909095191641
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,6.0,0.8875582168995343,0.8889525170471126,0.7601472032594551,0.812970611870486
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,7.0,0.8862275449101796,0.8905250489073671,0.7605869887887039,0.8139787409182709
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,8.0,0.8855622089155023,0.8881001795670436,0.7580079054655137,0.8112867807243351
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,9.0,0.8842315369261478,0.8834004841688102,0.757387526669292,0.8090077412183136
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,randomforest,False,False,False,False,10.0,0.8855622089155023,0.8877718337258983,0.7562946230081246,0.810545023588431
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,1.0,0.8842315369261478,0.8736001754660989,0.7492183591157975,0.8008275098877903
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,2.0,0.8842315369261478,0.8696679375316586,0.7451689969337211,0.796865075852164
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,3.0,0.8835662009314704,0.8717579751496803,0.745303051644337,0.7976445637552884
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,4.0,0.8835662009314704,0.8723333648831747,0.7456497890888348,0.7982253242128321
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,5.0,0.8815701929474384,0.8688484944550582,0.7427160179195786,0.7951184244433172
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,6.0,0.884896872920825,0.8720691971345158,0.7445975751649326,0.7972088692000542
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,7.0,0.8829008649367931,0.8708850046084528,0.7437341927702079,0.796312898328036
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,8.0,0.8835662009314704,0.8749950050856551,0.7431524021287751,0.797396690095301
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,9.0,0.884896872920825,0.8764141692403321,0.7455870618687052,0.7997286615736071
feature_extraction_ResNet_use_augmentation_,Resnet,feature_extractor,xgboost,False,False,False,False,10.0,0.8815701929474384,0.8700588188563533,0.7410131043348338,0.7944595565157193
feature_extraction_ResNet_use_augmentation_use_feature_augmentation_,Resnet,feature_extractor,adaboost,True,False,False,False,1.0,0.8323353293413174,0.5270254018728716,0.4648339031138653,0.4836913435359932
feature_extraction_ResNet_use_augmentation_use_feature_augmentation_,Resnet,feature_extractor,adaboost,True,False,False,False,2.0,0.8323353293413174,0.5270254018728716,0.4648339031138653,0.4836913435359932
